Ch 1 (s)	 Ch 1 (Volts)	 Ch 2 (s)	 Ch 2 (Volts)
     1.944E-3	     0.0000	      1.944E-3	      80.00E-3
     1.948E-3	      80.00E-3	      1.948E-3	      80.00E-3
     1.952E-3	     0.0000	      1.952E-3	     0.0000
     1.956E-3	      80.00E-3	      1.956E-3	     0.0000
     1.960E-3	     0.0000	      1.960E-3	     0.0000
     1.964E-3	     0.0000	      1.964E-3	      80.00E-3
     1.968E-3	     0.0000	      1.968E-3	     0.0000
     1.972E-3	     0.0000	      1.972E-3	      80.00E-3
     1.976E-3	      80.00E-3	      1.976E-3	      80.00E-3
     1.980E-3	     0.0000	      1.980E-3	     0.0000
     1.984E-3	     0.0000	      1.984E-3	     0.0000
     1.988E-3	      80.00E-3	      1.988E-3	     0.0000
     1.992E-3	     0.0000	      1.992E-3	     0.0000
     1.996E-3	     0.0000	      1.996E-3	      80.00E-3
     2.000E-3	     0.0000	      2.000E-3	     0.0000
     2.004E-3	      80.00E-3	      2.004E-3	     0.0000
     2.008E-3	     0.0000	      2.008E-3	     0.0000
     2.012E-3	     0.0000	      2.012E-3	     0.0000
     2.016E-3	     0.0000	      2.016E-3	      80.00E-3
     2.020E-3	     0.0000	      2.020E-3	      80.00E-3
     2.024E-3	     0.0000	      2.024E-3	     0.0000
     2.028E-3	     0.0000	      2.028E-3	     0.0000
     2.032E-3	      80.00E-3	      2.032E-3	     0.0000
     2.036E-3	     0.0000	      2.036E-3	      80.00E-3
     2.040E-3	     0.0000	      2.040E-3	     0.0000
     2.044E-3	     0.0000	      2.044E-3	      80.00E-3
     2.048E-3	     0.0000	      2.048E-3	     0.0000
     2.052E-3	     0.0000	      2.052E-3	      80.00E-3
     2.056E-3	     0.0000	      2.056E-3	      80.00E-3
     2.060E-3	     0.0000	      2.060E-3	     0.0000
     2.064E-3	     0.0000	      2.064E-3	     0.0000
     2.068E-3	     0.0000	      2.068E-3	     0.0000
     2.072E-3	     0.0000	      2.072E-3	      80.00E-3
     2.076E-3	     0.0000	      2.076E-3	     0.0000
     2.080E-3	     0.0000	      2.080E-3	     0.0000
     2.084E-3	     0.0000	      2.084E-3	      80.00E-3
     2.088E-3	     0.0000	      2.088E-3	      80.00E-3
     2.092E-3	     0.0000	      2.092E-3	     0.0000
     2.096E-3	     0.0000	      2.096E-3	     0.0000
     2.100E-3	     0.0000	      2.100E-3	     0.0000
     2.104E-3	     0.0000	      2.104E-3	     0.0000
     2.108E-3	     0.0000	      2.108E-3	     0.0000
     2.112E-3	     0.0000	      2.112E-3	     0.0000
     2.116E-3	     0.0000	      2.116E-3	      80.00E-3
     2.120E-3	      80.00E-3	      2.120E-3	     0.0000
     2.124E-3	     0.0000	      2.124E-3	     0.0000
     2.128E-3	     0.0000	      2.128E-3	     0.0000
     2.132E-3	     0.0000	      2.132E-3	     -80.00E-3
     2.136E-3	     0.0000	      2.136E-3	     0.0000
     2.140E-3	      80.00E-3	      2.140E-3	      80.00E-3
     2.144E-3	     0.0000	      2.144E-3	     0.0000
     2.148E-3	     0.0000	      2.148E-3	     0.0000
     2.152E-3	     0.0000	      2.152E-3	     0.0000
     2.156E-3	     0.0000	      2.156E-3	     0.0000
     2.160E-3	     0.0000	      2.160E-3	     0.0000
     2.164E-3	     0.0000	      2.164E-3	     0.0000
     2.168E-3	     0.0000	      2.168E-3	     0.0000
     2.172E-3	     0.0000	      2.172E-3	     0.0000
     2.176E-3	     0.0000	      2.176E-3	     0.0000
     2.180E-3	     0.0000	      2.180E-3	     0.0000
     2.184E-3	     0.0000	      2.184E-3	     0.0000
     2.188E-3	     0.0000	      2.188E-3	     0.0000
     2.192E-3	     0.0000	      2.192E-3	     0.0000
     2.196E-3	     0.0000	      2.196E-3	      80.00E-3
     2.200E-3	      80.00E-3	      2.200E-3	     0.0000
     2.204E-3	     0.0000	      2.204E-3	     0.0000
     2.208E-3	     0.0000	      2.208E-3	     0.0000
     2.212E-3	      80.00E-3	      2.212E-3	     0.0000
     2.216E-3	     0.0000	      2.216E-3	     0.0000
     2.220E-3	      80.00E-3	      2.220E-3	     0.0000
     2.224E-3	     0.0000	      2.224E-3	     0.0000
     2.228E-3	     0.0000	      2.228E-3	     0.0000
     2.232E-3	     0.0000	      2.232E-3	      80.00E-3
     2.236E-3	     0.0000	      2.236E-3	     0.0000
     2.240E-3	     0.0000	      2.240E-3	     0.0000
     2.244E-3	      80.00E-3	      2.244E-3	     0.0000
     2.248E-3	      80.00E-3	      2.248E-3	      80.00E-3
     2.252E-3	     0.0000	      2.252E-3	      80.00E-3
     2.256E-3	     0.0000	      2.256E-3	     0.0000
     2.260E-3	     0.0000	      2.260E-3	      80.00E-3
     2.264E-3	     0.0000	      2.264E-3	     0.0000
     2.268E-3	     0.0000	      2.268E-3	     0.0000
     2.272E-3	     0.0000	      2.272E-3	      80.00E-3
     2.276E-3	     0.0000	      2.276E-3	     0.0000
     2.280E-3	     0.0000	      2.280E-3	     0.0000
     2.284E-3	     0.0000	      2.284E-3	      80.00E-3
     2.288E-3	     0.0000	      2.288E-3	     0.0000
     2.292E-3	     0.0000	      2.292E-3	     0.0000
     2.296E-3	      80.00E-3	      2.296E-3	     0.0000
     2.300E-3	     0.0000	      2.300E-3	     0.0000
     2.304E-3	      80.00E-3	      2.304E-3	     0.0000
     2.308E-3	     0.0000	      2.308E-3	     0.0000
     2.312E-3	      80.00E-3	      2.312E-3	      80.00E-3
     2.316E-3	     0.0000	      2.316E-3	     0.0000
     2.320E-3	     0.0000	      2.320E-3	      80.00E-3
     2.324E-3	     0.0000	      2.324E-3	      80.00E-3
     2.328E-3	     0.0000	      2.328E-3	     0.0000
     2.332E-3	     0.0000	      2.332E-3	     0.0000
     2.336E-3	     0.0000	      2.336E-3	     0.0000
     2.340E-3	     0.0000	      2.340E-3	      80.00E-3
     2.344E-3	     0.0000	      2.344E-3	     0.0000
     2.348E-3	     0.0000	      2.348E-3	     0.0000
     2.352E-3	     -80.00E-3	      2.352E-3	     0.0000
     2.356E-3	     0.0000	      2.356E-3	     0.0000
     2.360E-3	      80.00E-3	      2.360E-3	      80.00E-3
     2.364E-3	     0.0000	      2.364E-3	     0.0000
     2.368E-3	     0.0000	      2.368E-3	      80.00E-3
     2.372E-3	     0.0000	      2.372E-3	     0.0000
     2.376E-3	     0.0000	      2.376E-3	     0.0000
     2.380E-3	      80.00E-3	      2.380E-3	      80.00E-3
     2.384E-3	     0.0000	      2.384E-3	      80.00E-3
     2.388E-3	      80.00E-3	      2.388E-3	     0.0000
     2.392E-3	     0.0000	      2.392E-3	     0.0000
     2.396E-3	     0.0000	      2.396E-3	     0.0000
     2.400E-3	      80.00E-3	      2.400E-3	     0.0000
     2.404E-3	     0.0000	      2.404E-3	     0.0000
     2.408E-3	     0.0000	      2.408E-3	      80.00E-3
     2.412E-3	     0.0000	      2.412E-3	     0.0000
     2.416E-3	     0.0000	      2.416E-3	      80.00E-3
     2.420E-3	     0.0000	      2.420E-3	     0.0000
     2.424E-3	     0.0000	      2.424E-3	     0.0000
     2.428E-3	      80.00E-3	      2.428E-3	     0.0000
     2.432E-3	     0.0000	      2.432E-3	      80.00E-3
     2.436E-3	     0.0000	      2.436E-3	      80.00E-3
     2.440E-3	     0.0000	      2.440E-3	     0.0000
     2.444E-3	     0.0000	      2.444E-3	      80.00E-3
     2.448E-3	     0.0000	      2.448E-3	      80.00E-3
     2.452E-3	      80.00E-3	      2.452E-3	     0.0000
     2.456E-3	     0.0000	      2.456E-3	     0.0000
     2.460E-3	     0.0000	      2.460E-3	     0.0000
     2.464E-3	     0.0000	      2.464E-3	     0.0000
     2.468E-3	     0.0000	      2.468E-3	     0.0000
     2.472E-3	     0.0000	      2.472E-3	     0.0000
     2.476E-3	     0.0000	      2.476E-3	     0.0000
     2.480E-3	      80.00E-3	      2.480E-3	     0.0000
     2.484E-3	     0.0000	      2.484E-3	     0.0000
     2.488E-3	     0.0000	      2.488E-3	     0.0000
     2.492E-3	     0.0000	      2.492E-3	     0.0000
     2.496E-3	     0.0000	      2.496E-3	      80.00E-3
     2.500E-3	     0.0000	      2.500E-3	     0.0000
     2.504E-3	     0.0000	      2.504E-3	     0.0000
     2.508E-3	     0.0000	      2.508E-3	      80.00E-3
     2.512E-3	      80.00E-3	      2.512E-3	     0.0000
     2.516E-3	     0.0000	      2.516E-3	     0.0000
     2.520E-3	     0.0000	      2.520E-3	      80.00E-3
     2.524E-3	      80.00E-3	      2.524E-3	      80.00E-3
     2.528E-3	      80.00E-3	      2.528E-3	      80.00E-3
     2.532E-3	     0.0000	      2.532E-3	      2.400
     2.536E-3	     0.0000	      2.536E-3	      480.0E-3
     2.540E-3	     0.0000	      2.540E-3	      160.0E-3
     2.544E-3	      80.00E-3	      2.544E-3	      80.00E-3
     2.548E-3	     0.0000	      2.548E-3	      80.00E-3
     2.552E-3	     0.0000	      2.552E-3	     0.0000
     2.556E-3	      80.00E-3	      2.556E-3	     0.0000
     2.560E-3	      80.00E-3	      2.560E-3	      80.00E-3
     2.564E-3	     0.0000	      2.564E-3	     0.0000
     2.568E-3	     0.0000	      2.568E-3	     0.0000
     2.572E-3	     0.0000	      2.572E-3	      80.00E-3
     2.576E-3	     0.0000	      2.576E-3	     0.0000
     2.580E-3	      80.00E-3	      2.580E-3	     0.0000
     2.584E-3	     0.0000	      2.584E-3	     0.0000
     2.588E-3	     0.0000	      2.588E-3	     0.0000
     2.592E-3	     0.0000	      2.592E-3	     0.0000
     2.596E-3	     0.0000	      2.596E-3	      80.00E-3
     2.600E-3	     0.0000	      2.600E-3	     0.0000
     2.604E-3	     0.0000	      2.604E-3	      80.00E-3
     2.608E-3	     0.0000	      2.608E-3	      80.00E-3
     2.612E-3	     0.0000	      2.612E-3	     0.0000
     2.616E-3	     0.0000	      2.616E-3	     0.0000
     2.620E-3	      80.00E-3	      2.620E-3	      80.00E-3
     2.624E-3	      80.00E-3	      2.624E-3	     0.0000
     2.628E-3	     0.0000	      2.628E-3	     0.0000
     2.632E-3	      80.00E-3	      2.632E-3	     0.0000
     2.636E-3	     0.0000	      2.636E-3	     0.0000
     2.640E-3	     0.0000	      2.640E-3	     0.0000
     2.644E-3	     0.0000	      2.644E-3	     0.0000
     2.648E-3	     0.0000	      2.648E-3	     0.0000
     2.652E-3	     0.0000	      2.652E-3	     0.0000
     2.656E-3	     0.0000	      2.656E-3	     0.0000
     2.660E-3	     0.0000	      2.660E-3	     0.0000
     2.664E-3	      80.00E-3	      2.664E-3	     0.0000
     2.668E-3	     0.0000	      2.668E-3	     0.0000
     2.672E-3	     0.0000	      2.672E-3	     0.0000
     2.676E-3	     0.0000	      2.676E-3	     0.0000
     2.680E-3	     0.0000	      2.680E-3	     0.0000
     2.684E-3	     0.0000	      2.684E-3	      80.00E-3
     2.688E-3	     0.0000	      2.688E-3	     0.0000
     2.692E-3	     0.0000	      2.692E-3	     0.0000
     2.696E-3	     0.0000	      2.696E-3	     0.0000
     2.700E-3	     0.0000	      2.700E-3	     0.0000
     2.704E-3	     0.0000	      2.704E-3	     0.0000
     2.708E-3	      80.00E-3	      2.708E-3	     0.0000
     2.712E-3	      80.00E-3	      2.712E-3	     0.0000
     2.716E-3	     0.0000	      2.716E-3	     0.0000
     2.720E-3	      80.00E-3	      2.720E-3	     0.0000
     2.724E-3	     0.0000	      2.724E-3	     0.0000
     2.728E-3	     0.0000	      2.728E-3	     0.0000
     2.732E-3	     0.0000	      2.732E-3	     0.0000
     2.736E-3	     0.0000	      2.736E-3	     0.0000
     2.740E-3	     0.0000	      2.740E-3	     0.0000
     2.744E-3	     0.0000	      2.744E-3	     0.0000
     2.748E-3	     0.0000	      2.748E-3	      80.00E-3
     2.752E-3	     0.0000	      2.752E-3	     0.0000
     2.756E-3	      80.00E-3	      2.756E-3	     0.0000
     2.760E-3	     0.0000	      2.760E-3	      80.00E-3
     2.764E-3	      80.00E-3	      2.764E-3	      80.00E-3
     2.768E-3	     0.0000	      2.768E-3	      80.00E-3
     2.772E-3	     0.0000	      2.772E-3	     0.0000
     2.776E-3	     0.0000	      2.776E-3	      80.00E-3
     2.780E-3	     0.0000	      2.780E-3	     0.0000
     2.784E-3	     0.0000	      2.784E-3	     0.0000
     2.788E-3	     0.0000	      2.788E-3	     0.0000
     2.792E-3	     0.0000	      2.792E-3	     0.0000
     2.796E-3	     0.0000	      2.796E-3	     0.0000
     2.800E-3	     0.0000	      2.800E-3	     0.0000
     2.804E-3	     0.0000	      2.804E-3	     0.0000
     2.808E-3	     0.0000	      2.808E-3	      80.00E-3
     2.812E-3	      80.00E-3	      2.812E-3	     0.0000
     2.816E-3	      80.00E-3	      2.816E-3	     0.0000
     2.820E-3	     0.0000	      2.820E-3	     0.0000
     2.824E-3	     0.0000	      2.824E-3	      80.00E-3
     2.828E-3	     0.0000	      2.828E-3	     0.0000
     2.832E-3	      80.00E-3	      2.832E-3	      80.00E-3
     2.836E-3	     0.0000	      2.836E-3	     0.0000
     2.840E-3	     0.0000	      2.840E-3	     0.0000
     2.844E-3	     0.0000	      2.844E-3	     0.0000
     2.848E-3	     0.0000	      2.848E-3	     0.0000
     2.852E-3	      80.00E-3	      2.852E-3	     0.0000
     2.856E-3	     0.0000	      2.856E-3	     0.0000
     2.860E-3	     0.0000	      2.860E-3	      80.00E-3
     2.864E-3	     0.0000	      2.864E-3	     0.0000
     2.868E-3	     0.0000	      2.868E-3	     0.0000
     2.872E-3	     0.0000	      2.872E-3	     0.0000
     2.876E-3	     0.0000	      2.876E-3	     0.0000
     2.880E-3	     0.0000	      2.880E-3	      80.00E-3
     2.884E-3	      80.00E-3	      2.884E-3	      80.00E-3
     2.888E-3	     0.0000	      2.888E-3	      80.00E-3
     2.892E-3	     0.0000	      2.892E-3	      80.00E-3
     2.896E-3	     0.0000	      2.896E-3	     0.0000
     2.900E-3	     0.0000	      2.900E-3	     0.0000
     2.904E-3	     0.0000	      2.904E-3	     0.0000
     2.908E-3	     0.0000	      2.908E-3	      80.00E-3
     2.912E-3	     0.0000	      2.912E-3	     0.0000
     2.916E-3	     0.0000	      2.916E-3	     0.0000
     2.920E-3	      80.00E-3	      2.920E-3	     0.0000
     2.924E-3	     0.0000	      2.924E-3	     0.0000
     2.928E-3	     -80.00E-3	      2.928E-3	     0.0000
     2.932E-3	     0.0000	      2.932E-3	     0.0000
     2.936E-3	      80.00E-3	      2.936E-3	     0.0000
     2.940E-3	     0.0000	      2.940E-3	     0.0000
     2.944E-3	     0.0000	      2.944E-3	      80.00E-3
     2.948E-3	     0.0000	      2.948E-3	     0.0000
     2.952E-3	     0.0000	      2.952E-3	     0.0000
     2.956E-3	     0.0000	      2.956E-3	     0.0000
     2.960E-3	      80.00E-3	      2.960E-3	      80.00E-3
     2.964E-3	     0.0000	      2.964E-3	     0.0000
     2.968E-3	      80.00E-3	      2.968E-3	      80.00E-3
     2.972E-3	     0.0000	      2.972E-3	     0.0000
     2.976E-3	      80.00E-3	      2.976E-3	     0.0000
     2.980E-3	     0.0000	      2.980E-3	      80.00E-3
     2.984E-3	      80.00E-3	      2.984E-3	     0.0000
     2.988E-3	      80.00E-3	      2.988E-3	     0.0000
     2.992E-3	     0.0000	      2.992E-3	     0.0000
     2.996E-3	     0.0000	      2.996E-3	     0.0000
     3.000E-3	     0.0000	      3.000E-3	     0.0000
     3.004E-3	     0.0000	      3.004E-3	     0.0000
     3.008E-3	      80.00E-3	      3.008E-3	     0.0000
     3.012E-3	     0.0000	      3.012E-3	     0.0000
     3.016E-3	     0.0000	      3.016E-3	     0.0000
     3.020E-3	     0.0000	      3.020E-3	     0.0000
     3.024E-3	      80.00E-3	      3.024E-3	     0.0000
     3.028E-3	     0.0000	      3.028E-3	     0.0000
     3.032E-3	     0.0000	      3.032E-3	     0.0000
     3.036E-3	     0.0000	      3.036E-3	     0.0000
     3.040E-3	     0.0000	      3.040E-3	     0.0000
     3.044E-3	     0.0000	      3.044E-3	     0.0000
     3.048E-3	     0.0000	      3.048E-3	     0.0000
     3.052E-3	     0.0000	      3.052E-3	     0.0000
     3.056E-3	      80.00E-3	      3.056E-3	     0.0000
     3.060E-3	     0.0000	      3.060E-3	     0.0000
     3.064E-3	     0.0000	      3.064E-3	     0.0000
     3.068E-3	     -80.00E-3	      3.068E-3	     0.0000
     3.072E-3	     0.0000	      3.072E-3	     0.0000
     3.076E-3	     0.0000	      3.076E-3	     0.0000
     3.080E-3	      80.00E-3	      3.080E-3	      80.00E-3
     3.084E-3	     0.0000	      3.084E-3	     0.0000
     3.088E-3	      80.00E-3	      3.088E-3	      80.00E-3
     3.092E-3	      80.00E-3	      3.092E-3	     0.0000
     3.096E-3	     0.0000	      3.096E-3	     0.0000
     3.100E-3	     0.0000	      3.100E-3	     0.0000
     3.104E-3	     0.0000	      3.104E-3	      80.00E-3
     3.108E-3	     0.0000	      3.108E-3	     0.0000
     3.112E-3	     0.0000	      3.112E-3	      80.00E-3
     3.116E-3	     0.0000	      3.116E-3	      80.00E-3
     3.120E-3	     0.0000	      3.120E-3	     0.0000
     3.124E-3	     0.0000	      3.124E-3	     0.0000
     3.128E-3	     0.0000	      3.128E-3	     0.0000
     3.132E-3	     0.0000	      3.132E-3	     0.0000
     3.136E-3	      80.00E-3	      3.136E-3	      80.00E-3
     3.140E-3	     0.0000	      3.140E-3	      80.00E-3
     3.144E-3	     0.0000	      3.144E-3	     0.0000
     3.148E-3	     0.0000	      3.148E-3	      80.00E-3
     3.152E-3	      80.00E-3	      3.152E-3	      80.00E-3
     3.156E-3	      80.00E-3	      3.156E-3	     0.0000
     3.160E-3	     0.0000	      3.160E-3	     0.0000
     3.164E-3	      80.00E-3	      3.164E-3	     0.0000
     3.168E-3	     0.0000	      3.168E-3	     0.0000
     3.172E-3	     0.0000	      3.172E-3	     0.0000
     3.176E-3	     0.0000	      3.176E-3	     0.0000
     3.180E-3	     0.0000	      3.180E-3	     0.0000
     3.184E-3	     0.0000	      3.184E-3	     0.0000
     3.188E-3	     0.0000	      3.188E-3	     0.0000
     3.192E-3	     0.0000	      3.192E-3	      80.00E-3
     3.196E-3	     0.0000	      3.196E-3	     0.0000
     3.200E-3	     0.0000	      3.200E-3	     0.0000
     3.204E-3	      80.00E-3	      3.204E-3	     -80.00E-3
     3.208E-3	     0.0000	      3.208E-3	     0.0000
     3.212E-3	     0.0000	      3.212E-3	     0.0000
     3.216E-3	     0.0000	      3.216E-3	     0.0000
     3.220E-3	     0.0000	      3.220E-3	      80.00E-3
     3.224E-3	      80.00E-3	      3.224E-3	     0.0000
     3.228E-3	     0.0000	      3.228E-3	     0.0000
     3.232E-3	     0.0000	      3.232E-3	     0.0000
     3.236E-3	     0.0000	      3.236E-3	     0.0000
     3.240E-3	      80.00E-3	      3.240E-3	      80.00E-3
     3.244E-3	     0.0000	      3.244E-3	     0.0000
     3.248E-3	     0.0000	      3.248E-3	      80.00E-3
     3.252E-3	     0.0000	      3.252E-3	     0.0000
     3.256E-3	     0.0000	      3.256E-3	     0.0000
     3.260E-3	     0.0000	      3.260E-3	      80.00E-3
     3.264E-3	     0.0000	      3.264E-3	     0.0000
     3.268E-3	     0.0000	      3.268E-3	     0.0000
     3.272E-3	      80.00E-3	      3.272E-3	     0.0000
     3.276E-3	     0.0000	      3.276E-3	      80.00E-3
     3.280E-3	     0.0000	      3.280E-3	     0.0000
     3.284E-3	     0.0000	      3.284E-3	     0.0000
     3.288E-3	     0.0000	      3.288E-3	     0.0000
     3.292E-3	     0.0000	      3.292E-3	      80.00E-3
     3.296E-3	     0.0000	      3.296E-3	     0.0000
     3.300E-3	      80.00E-3	      3.300E-3	     0.0000
     3.304E-3	     0.0000	      3.304E-3	     0.0000
     3.308E-3	     0.0000	      3.308E-3	     0.0000
     3.312E-3	     0.0000	      3.312E-3	     0.0000
     3.316E-3	     0.0000	      3.316E-3	     0.0000
     3.320E-3	      80.00E-3	      3.320E-3	     0.0000
     3.324E-3	     0.0000	      3.324E-3	     0.0000
     3.328E-3	      80.00E-3	      3.328E-3	     0.0000
     3.332E-3	     0.0000	      3.332E-3	     0.0000
     3.336E-3	     0.0000	      3.336E-3	     0.0000
     3.340E-3	     0.0000	      3.340E-3	     0.0000
     3.344E-3	      80.00E-3	      3.344E-3	     0.0000
     3.348E-3	     0.0000	      3.348E-3	     0.0000
     3.352E-3	     0.0000	      3.352E-3	      80.00E-3
     3.356E-3	     0.0000	      3.356E-3	      80.00E-3
     3.360E-3	     0.0000	      3.360E-3	     0.0000
     3.364E-3	     0.0000	      3.364E-3	     0.0000
     3.368E-3	     0.0000	      3.368E-3	      80.00E-3
     3.372E-3	     0.0000	      3.372E-3	     0.0000
     3.376E-3	     0.0000	      3.376E-3	     0.0000
     3.380E-3	      80.00E-3	      3.380E-3	     0.0000
     3.384E-3	     0.0000	      3.384E-3	     0.0000
     3.388E-3	     0.0000	      3.388E-3	     0.0000
     3.392E-3	     0.0000	      3.392E-3	     0.0000
     3.396E-3	      80.00E-3	      3.396E-3	     0.0000
     3.400E-3	      80.00E-3	      3.400E-3	     0.0000
     3.404E-3	     0.0000	      3.404E-3	     0.0000
     3.408E-3	     0.0000	      3.408E-3	     0.0000
     3.412E-3	     0.0000	      3.412E-3	     0.0000
     3.416E-3	      80.00E-3	      3.416E-3	      80.00E-3
     3.420E-3	     0.0000	      3.420E-3	     0.0000
     3.424E-3	     0.0000	      3.424E-3	     0.0000
     3.428E-3	      80.00E-3	      3.428E-3	     0.0000
     3.432E-3	     0.0000	      3.432E-3	     0.0000
     3.436E-3	     0.0000	      3.436E-3	     0.0000
     3.440E-3	     0.0000	      3.440E-3	      80.00E-3
     3.444E-3	     0.0000	      3.444E-3	     0.0000
     3.448E-3	     0.0000	      3.448E-3	     0.0000
     3.452E-3	      80.00E-3	      3.452E-3	     0.0000
     3.456E-3	      80.00E-3	      3.456E-3	     0.0000
     3.460E-3	     0.0000	      3.460E-3	      80.00E-3
     3.464E-3	     0.0000	      3.464E-3	     0.0000
     3.468E-3	     0.0000	      3.468E-3	     0.0000
     3.472E-3	     0.0000	      3.472E-3	      80.00E-3
     3.476E-3	      80.00E-3	      3.476E-3	      80.00E-3
     3.480E-3	     0.0000	      3.480E-3	     0.0000
     3.484E-3	     0.0000	      3.484E-3	     0.0000
     3.488E-3	      80.00E-3	      3.488E-3	     0.0000
     3.492E-3	     0.0000	      3.492E-3	     0.0000
     3.496E-3	     0.0000	      3.496E-3	     0.0000
     3.500E-3	     0.0000	      3.500E-3	      80.00E-3
     3.504E-3	     0.0000	      3.504E-3	      80.00E-3
     3.508E-3	     0.0000	      3.508E-3	      80.00E-3
     3.512E-3	     0.0000	      3.512E-3	     0.0000
     3.516E-3	     0.0000	      3.516E-3	      80.00E-3
     3.520E-3	      80.00E-3	      3.520E-3	     0.0000
     3.524E-3	      80.00E-3	      3.524E-3	     0.0000
     3.528E-3	      80.00E-3	      3.528E-3	      80.00E-3
     3.532E-3	     0.0000	      3.532E-3	     0.0000
     3.536E-3	     0.0000	      3.536E-3	     0.0000
     3.540E-3	     0.0000	      3.540E-3	     0.0000
     3.544E-3	     -80.00E-3	      3.544E-3	     0.0000
     3.548E-3	      80.00E-3	      3.548E-3	     0.0000
     3.552E-3	     0.0000	      3.552E-3	     0.0000
     3.556E-3	     0.0000	      3.556E-3	     0.0000
     3.560E-3	     0.0000	      3.560E-3	     0.0000
     3.564E-3	     0.0000	      3.564E-3	     0.0000
     3.568E-3	     0.0000	      3.568E-3	     0.0000
     3.572E-3	     0.0000	      3.572E-3	     0.0000
     3.576E-3	     0.0000	      3.576E-3	     0.0000
     3.580E-3	     0.0000	      3.580E-3	     0.0000
     3.584E-3	     0.0000	      3.584E-3	      80.00E-3
     3.588E-3	     0.0000	      3.588E-3	     0.0000
     3.592E-3	     0.0000	      3.592E-3	     0.0000
     3.596E-3	     0.0000	      3.596E-3	     0.0000
     3.600E-3	      80.00E-3	      3.600E-3	     0.0000
     3.604E-3	      80.00E-3	      3.604E-3	     0.0000
     3.608E-3	     0.0000	      3.608E-3	     0.0000
     3.612E-3	     0.0000	      3.612E-3	     0.0000
     3.616E-3	     0.0000	      3.616E-3	     0.0000
     3.620E-3	     0.0000	      3.620E-3	     0.0000
     3.624E-3	     0.0000	      3.624E-3	     0.0000
     3.628E-3	     0.0000	      3.628E-3	      80.00E-3
     3.632E-3	     0.0000	      3.632E-3	     0.0000
     3.636E-3	     0.0000	      3.636E-3	     0.0000
     3.640E-3	     0.0000	      3.640E-3	      80.00E-3
     3.644E-3	      80.00E-3	      3.644E-3	     0.0000
     3.648E-3	     0.0000	      3.648E-3	     0.0000
     3.652E-3	      80.00E-3	      3.652E-3	     0.0000
     3.656E-3	     0.0000	      3.656E-3	      80.00E-3
     3.660E-3	     0.0000	      3.660E-3	     0.0000
     3.664E-3	     0.0000	      3.664E-3	     0.0000
     3.668E-3	     0.0000	      3.668E-3	     0.0000
     3.672E-3	      80.00E-3	      3.672E-3	      80.00E-3
     3.676E-3	     0.0000	      3.676E-3	     0.0000
     3.680E-3	      80.00E-3	      3.680E-3	     0.0000
     3.684E-3	     0.0000	      3.684E-3	     0.0000
     3.688E-3	      80.00E-3	      3.688E-3	     0.0000
     3.692E-3	     0.0000	      3.692E-3	     0.0000
     3.696E-3	     0.0000	      3.696E-3	     0.0000
     3.700E-3	      80.00E-3	      3.700E-3	     0.0000
     3.704E-3	     0.0000	      3.704E-3	     0.0000
     3.708E-3	      80.00E-3	      3.708E-3	      80.00E-3
     3.712E-3	     0.0000	      3.712E-3	      80.00E-3
     3.716E-3	     0.0000	      3.716E-3	     0.0000
     3.720E-3	     0.0000	      3.720E-3	     0.0000
     3.724E-3	      80.00E-3	      3.724E-3	     0.0000
     3.728E-3	     0.0000	      3.728E-3	     0.0000
     3.732E-3	     0.0000	      3.732E-3	     0.0000
     3.736E-3	     0.0000	      3.736E-3	     -80.00E-3
     3.740E-3	     0.0000	      3.740E-3	      80.00E-3
     3.744E-3	     0.0000	      3.744E-3	     0.0000
     3.748E-3	     0.0000	      3.748E-3	     0.0000
     3.752E-3	     0.0000	      3.752E-3	     0.0000
     3.756E-3	      80.00E-3	      3.756E-3	     0.0000
     3.760E-3	     0.0000	      3.760E-3	      80.00E-3
     3.764E-3	     0.0000	      3.764E-3	      80.00E-3
     3.768E-3	     0.0000	      3.768E-3	     0.0000
     3.772E-3	     0.0000	      3.772E-3	     0.0000
     3.776E-3	     0.0000	      3.776E-3	      80.00E-3
     3.780E-3	     0.0000	      3.780E-3	     0.0000
     3.784E-3	      80.00E-3	      3.784E-3	     0.0000
     3.788E-3	     0.0000	      3.788E-3	     0.0000
     3.792E-3	      80.00E-3	      3.792E-3	     0.0000
     3.796E-3	      80.00E-3	      3.796E-3	     0.0000
     3.800E-3	     0.0000	      3.800E-3	      80.00E-3
     3.804E-3	      80.00E-3	      3.804E-3	     0.0000
     3.808E-3	     0.0000	      3.808E-3	      80.00E-3
     3.812E-3	     0.0000	      3.812E-3	     0.0000
     3.816E-3	     0.0000	      3.816E-3	     0.0000
     3.820E-3	     0.0000	      3.820E-3	     0.0000
     3.824E-3	     0.0000	      3.824E-3	      80.00E-3
     3.828E-3	     0.0000	      3.828E-3	     0.0000
     3.832E-3	     0.0000	      3.832E-3	      80.00E-3
     3.836E-3	      80.00E-3	      3.836E-3	      80.00E-3
     3.840E-3	     0.0000	      3.840E-3	      80.00E-3
     3.844E-3	      80.00E-3	      3.844E-3	     0.0000
     3.848E-3	     0.0000	      3.848E-3	     0.0000
     3.852E-3	     0.0000	      3.852E-3	     0.0000
     3.856E-3	     0.0000	      3.856E-3	     0.0000
     3.860E-3	     0.0000	      3.860E-3	      80.00E-3
     3.864E-3	      80.00E-3	      3.864E-3	     0.0000
